AUC score	Balanced accuracy score	Precision	Recall	species	antibiotic	MOA	case	R1	S1	Rn	Sn	distance	model	scheme	split	drug_class
0.5895449137418200	0.5045121951219510	0.29	0.0085365853658536	Escherichia coli	amoxicillin	CWSI	A-a	279	109	181	0	1.864204098274000	LightGBM	A	scheme	penam
0.5965615704937540	0.5048780487804880	0.34	0.0090243902439024	Escherichia coli	amoxicillin	CWSI	A-a	280	109	181	0	1.864204098274000	LightGBM	A	scheme	penam
0.71304375	0.5	0.0	0.0	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.7153500000000000	0.5046250000000000	0.32	0.0069999999999999	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.6995531250000000	0.5035000000000000	0.27	0.0065	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.781965625	0.5	0.0	0.0	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.7100468750000000	0.5	0.0	0.0	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.8042375000000000	0.504125	0.33	0.00675	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.6776375	0.5	0.0	0.0	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.7025250000000000	0.505	0.38	0.008	Escherichia coli	amoxicillin	CWSI	A-a	280	110	182	0	1.864204098274000	LightGBM	A	scheme	penam
0.5436235803136830	0.5	0.5	1.0	Escherichia coli	amoxicillin	CWSI	A-b	279	109	0	204	1.864204098274000	LightGBM	A	scheme	penam
0.6205354245538130	0.5	0.5	1.0	Escherichia coli	amoxicillin	CWSI	A-b	280	109	0	204	1.864204098274000	LightGBM	A	scheme	penam
0.6069686316928070	0.5	0.5	1.0	Escherichia coli	amoxicillin	CWSI	A-b	280	110	0	204	1.864204098274000	LightGBM	A	scheme	penam
